fileName,isProcessed
1637265171.txt,1
1637265172.txt,1
1637265173.txt,1
1637265174.txt,1
1637265175.txt,1
1637265176.txt,1
1637265177.txt,1
1637265178.txt,1
1637265179.txt,1
1637265180.txt,1
1637265181.txt,1
1637265182.txt,1
1637265183.txt,1
1637265184.txt,1
1637265185.txt,1
1637265186.txt,1
1637265187.txt,1
1637265188.txt,1
1637265189.txt,1
1637265190.txt,1
1637265191.txt,1
1637265192.txt,1
1637265193.txt,1
1637265194.txt,1
1637265195.txt,1
1637265196.txt,1
1637265197.txt,0
1637265198.txt,0
1637265199.txt,0
1637265200.txt,0
1637265201.txt,0